School Name,In-State Tuition,Out-of-State Tuition,Acceptance Rate,SAT/ACT Scores,Student Population,Graduation Rate
Prairie View A & M University,"$11,299","$26,874",75.30%,940 SAT 18 ACT,"9,517",43%
Stephen F Austin State University,"$10,600","$20,680",88.25%,1070 SAT 21 ACT,"10,888",52%
Texas State University,"$11,450","$23,210",89.48%,1084 SAT 23 ACT,"38,722",56%
The University of Texas Health Science Center at San Antonio,"$9,577","$23,449",-,-,"3,640",-
The University of Texas Medical Branch at Galveston,"$10,603","$24,103",-,-,"3,315",-
Texas A & M University-Kingsville,"$9,892","$26,106",92.29%,1030 SAT,"6,562",46%
The University of Texas at Arlington,"$11,727","$29,659",81.29%,1110 SAT 23 ACT,"43,992",57%
The University of Texas at El Paso,"$9,544","$25,512",99.90%,980 SAT 20 ACT,"24,351",46%
The University of Texas at Tyler,"$9,452","$24,752",91.54%,1110 SAT 22 ACT,"9,678",47%
University of North Texas Health Science Center,"$10,921","$29,191",-,-,"2,344",-
The University of Texas Permian Basin,"$9,237","$21,477",84.46%,1040 SAT 17 ACT,"5,899",43%
The University of Texas at San Antonio,"$9,279","$22,217",88.46%,1100 SAT 22 ACT,"34,864",51%
Texas Southern University,"$8,637","$20,397",93.35%,900 SAT 17 ACT,"8,469",20%
Louisiana State University Health Sciences Center-Shreveport,"$10,474","$21,345",-,-,"1,045",-
Nevada State University,"$6,368","$20,449",86.15%,-,"7,283",31%
Texas A&M University-San Antonio,"$9,354","$23,164",92.00%,950 SAT 18 ACT,"7,584",29%
Augusta University,"$8,122","$23,500",89.31%,1110 SAT 22 ACT,"9,862",49%
Florida Polytechnic University,"$4,940","$21,004",55.73%,1280 SAT 28 ACT,"1,618",53%
University of North Texas at Dallas,"$9,590","$22,189",93.86%,910 SAT 17 ACT,"3,797",44%
The University of Tennessee Health Science Center,"$11,002","$23,425",-,-,"3,121",-
Texas Tech University Health Sciences Center-El Paso,"$11,992","$25,852",-,-,922,-
Washington State University-Vancouver,"$11,597","$27,673",-,-,-,-
Washington State University-Tri Cities,"$11,932","$28,008",-,-,-,-
Commonwealth University of Pennsylvania,"$11,046","$22,870",94.75%,1090 SAT 23 ACT,"11,088",53%
The University of Alabama,"$11,900","$33,200",75.82%,1280 SAT 27 ACT,"39,622",74%
Auburn University,"$12,536","$33,944",50.47%,1310 SAT 28 ACT,"33,015",79%
Arizona State University Campus Immersion,"$12,051","$32,193",90.19%,-,"79,593",68%
University of Arizona,"$13,277","$38,784",85.66%,1280 SAT 26 ACT,"53,001",66%
California Polytechnic State University-San Luis Obispo,"$11,075","$30,995",29.75%,-,"22,485",85%
Colorado State University-Fort Collins,"$13,009","$33,765",89.59%,-,"33,500",67%
University of Delaware,"$16,080","$39,720",65.11%,1290 SAT 29 ACT,"24,221",79%
Georgia Institute of Technology-Main Campus,"$11,764","$32,876",16.46%,1450 SAT 32 ACT,"47,946",92%
University of Georgia,"$11,180","$30,220",37.20%,1270 SAT 29 ACT,"41,615",87%
University of Hawaii at Manoa,"$12,186","$34,218",69.69%,1120 SAT 24 ACT,"19,256",63%
University of Illinois Chicago,"$15,816","$31,505",78.50%,1230 SAT 28 ACT,"33,522",60%
University of Illinois Urbana-Champaign,"$18,060","$39,192",43.69%,1410 SAT 32 ACT,"56,563",85%
Indiana University-Indianapolis,"$10,449","$33,717",81.39%,1140 SAT 24 ACT,"25,497",54%
University of Iowa,"$10,964","$32,927",84.67%,1220 SAT 25 ACT,"30,042",73%
University of Kentucky,"$13,212","$33,406",92.38%,1170 SAT 25 ACT,"32,703",70%
University of Maine,"$12,606","$35,346",95.71%,-,"11,760",56%
Maine Maritime Academy,"$14,746","$30,226",61.40%,1170 SAT 26 ACT,913,61%
University of Maryland-Baltimore County,"$12,952","$30,308",74.24%,1300 SAT 27 ACT,"14,148",71%
St. Mary's College of Maryland,"$15,236","$31,312",75.39%,1220 SAT 28 ACT,"1,587",68%
University of Massachusetts-Lowell,"$16,570","$35,396",85.24%,1250 SAT 27 ACT,"16,770",70%
University of Massachusetts-Amherst,"$17,357","$39,293",57.77%,1390 SAT 31 ACT,"31,810",83%
University of Massachusetts-Boston,"$15,495","$37,171",82.96%,1180 SAT 27 ACT,"15,810",51%
University of Massachusetts-Dartmouth,"$15,208","$31,750",92.16%,1150 SAT 24 ACT,"7,759",49%
University of Michigan-Dearborn,"$14,944","$31,360",58.63%,1120 SAT 26 ACT,"8,035",57%
Wayne State University,"$15,464","$33,158",82.03%,1140 SAT 25 ACT,"23,553",57%
Oregon State University,"$13,494","$35,664",78.85%,-,"35,622",71%
Southern Oregon University,"$12,093","$30,723",82.66%,-,"5,371",44%
Western Oregon University,"$11,025","$30,735",98.69%,1010 SAT 23 ACT,"3,857",45%
University of Pittsburgh-Pittsburgh Campus,"$21,524","$39,890",49.70%,1360 SAT 31 ACT,"34,525",84%
Temple University,"$21,991","$37,248",82.92%,-,"30,205",75%
University of Rhode Island,"$16,408","$35,804",77.07%,1160 SAT 28 ACT,"17,351",71%
College of Charleston,"$12,978","$36,858",72.00%,1210 SAT 27 ACT,"11,729",65%
Citadel Military College of South Carolina,"$12,570","$37,370",98.09%,1180 SAT 24 ACT,"3,727",73%
Clemson University,"$15,554","$39,498",38.05%,1320 SAT 30 ACT,"28,747",88%
Medical University of South Carolina,"$16,972","$30,380",-,-,"3,117",-
University of South Carolina-Columbia,"$12,688","$34,943",61.49%,1270 SAT 29 ACT,"36,579",78%
Winthrop University,"$15,956","$30,286",75.06%,1120 SAT 23 ACT,"4,694",61%
The University of Tennessee-Knoxville,"$13,484","$31,974",45.99%,1260 SAT 28 ACT,"36,304",73%
Christopher Newport University,"$16,351","$30,988",87.96%,1200 SAT 26 ACT,"4,503",75%
George Mason University,"$13,815","$37,979",88.83%,1240 SAT 28 ACT,"39,527",69%
James Madison University,"$13,576","$30,790",76.25%,1240 SAT 27 ACT,"22,758",81%
University of Mary Washington,"$14,559","$31,479",86.26%,1240 SAT 26 ACT,"3,808",67%
Old Dominion University,"$12,262","$32,662",90.52%,1190 SAT 24 ACT,"22,541",44%
University of Virginia's College at Wise,"$11,656","$32,540",93.92%,1060 SAT 23 ACT,"1,911",50%
Virginia Polytechnic Institute and State University,"$15,478","$36,694",57.03%,1330 SAT 30 ACT,"38,294",86%
Virginia Commonwealth University,"$16,233","$38,817",93.06%,1160 SAT 26 ACT,"28,238",65%
The Evergreen State College,"$8,999","$30,980",97.23%,1130 SAT 26 ACT,"2,320",44%
Oregon State University-Cascades Campus,"$12,594","$34,944",68.44%,-,"1,313",51%
Arizona State University-West,"$12,051","$32,193",-,-,-,-
Arizona State University-Polytechnic,"$12,051","$32,193",-,-,-,-
University of California-Berkeley,"$14,850","$45,627",11.66%,-,"45,699",93%
University of California-Davis,"$15,247","$46,024",41.63%,-,"39,707",85%
University of California-Irvine,"$14,237","$45,014",25.57%,-,"36,582",86%
University of California-Los Angeles,"$13,747","$44,524",8.73%,-,"46,678",93%
University of California-Riverside,"$14,170","$44,947",63.30%,-,"26,426",77%
University of California-San Diego,"$15,265","$46,042",24.52%,-,"42,376",88%
University of California-Santa Barbara,"$14,965","$45,742",27.78%,-,"26,068",85%
University of California-Santa Cruz,"$14,560","$45,337",62.54%,-,"19,764",74%
University of Colorado Boulder,"$15,556","$41,943",83.28%,1330 SAT 31 ACT,"41,432",75%
Colorado School of Mines,"$21,186","$44,376",59.71%,1400 SAT 31 ACT,"7,599",79%
University of Connecticut,"$20,366","$43,034",53.95%,1330 SAT 31 ACT,"27,364",84%
Indiana University-Bloomington,"$11,790","$40,482",80.37%,1280 SAT 30 ACT,"47,527",81%
"University of Maryland, Baltimore","$13,374","$43,936",-,-,"6,667",-
University of Maryland-College Park,"$11,505","$40,306",44.84%,1460 SAT 33 ACT,"40,813",89%
Massachusetts College of Art and Design,"$14,960","$42,180",77.47%,-,"1,986",69%
Michigan State University,"$17,270","$44,040",83.92%,1250 SAT 28 ACT,"51,316",82%
Michigan Technological University,"$19,747","$43,089",87.94%,1220 SAT 28 ACT,"7,313",69%
University of Oregon,"$14,751","$41,194",85.11%,1240 SAT 27 ACT,"23,786",71%
Pennsylvania State University-Main Campus,"$20,234","$40,188",54.22%,1310 SAT 29 ACT,"50,399",86%
Texas A & M University-College Station,"$12,841","$40,328",63.25%,1260 SAT 28 ACT,"76,633",84%
The University of Texas at Austin,"$11,678","$42,778",29.12%,1370 SAT 31 ACT,"53,082",88%
The University of Texas at Dallas,"$14,564","$40,064",65.46%,1290 SAT 29 ACT,"30,885",71%
The University of Texas Health Science Center at Houston,"$14,516","$40,934",-,-,"5,048",-
University of Vermont,"$18,890","$43,890",60.02%,1340 SAT 31 ACT,"14,320",79%
William & Mary,"$25,041","$49,412",32.72%,1450 SAT 33 ACT,"9,762",91%
University of Michigan-Ann Arbor,"$18,309","$60,107",17.94%,1470 SAT 33 ACT,"52,065",93%
University of Virginia-Main Campus,"$22,323","$59,633",16.86%,1490 SAT 33 ACT,"25,924",95%
Virginia Military Institute,"$20,484","$51,186",81.73%,1170 SAT 25 ACT,"1,560",82%
